cumulative_supply,cumulative_tvl_usd,day,net_flow,net_flow_usd,supply_amount,supply_amount_usd,withdraw_amount,withdraw_amount_usd
807807515.8171211,808693352.3065891,2024-04-09,370494.62215999997,370912.9105884185,648766.759994,649499.2176660331,278272.137834,278586.3070776146
814557515.8171211,815445694.5565891,2024-04-10,6288342.365622,6290524.420422871,6750000.0,6752342.25,461657.634378,461817.8295771292
817894542.9390612,818786265.6013327,2024-04-11,-7813070.731283,-7821368.212399621,3337027.1219399995,3340571.0447435,11150097.853223,11161939.257143121
842031862.5996362,842965077.3144042,2024-04-12,6840804.555034015,6852563.89806411,24137319.66057501,24178811.71307154,17296515.105540995,17326247.81500743
842031862.5996362,842965077.3144042,2024-04-13,-1901268.162948,-1906490.9465916182,0.0,0.0,1901268.162948,1906490.9465916182
846031862.5996362,846969729.3144042,2024-04-14,2364589.436508,2367339.4540226585,4000000.0,4004652.0,1635410.563492,1637312.5459773415
846531863.5996362,847470007.3149582,2024-04-15,-1499999.0,-1500829.999446,500001.0,500278.000554,2000000.0,2001108.0
846606515.5451832,847544744.7369828,2024-04-16,-1276249.844187,-1277711.1502585942,74651.945547,74737.42202465131,1350901.789734,1352448.5722832454
846612105.5451832,847550343.2393728,2024-04-17,-594410.0,-595314.09761,5590.0,5598.502390000001,600000.0,600912.6000000001
846612105.5451832,847550343.2393728,2024-04-18,-40785.477501999994,-40846.81886016301,0.0,0.0,40785.477501999994,40846.81886016301
846670065.3942832,847608362.0336394,2024-04-19,-9942040.1509,-9952151.205733465,57959.8491,58018.7942665347,10000000.0,10010170.0
848730575.3942832,849670464.8078694,2024-04-20,2060510.0,2062102.7742299996,2060510.0,2062102.7742299996,0.0,0.0
854994766.9554912,855940669.9929762,2024-04-21,-18407546.318607002,-18425217.563072868,6264191.561207997,6270205.185106765,24671737.879815,24695422.748179633
866931683.2466052,867878493.4897283,2024-04-22,-8000250.711323999,-8000858.73037806,11936916.291114006,11937823.49675213,19937167.002438005,19938682.22713019
867508475.5644011,868455699.9444085,2024-04-23,-621581.060182,-622027.3553832107,576792.3177959998,577206.4546801775,1198373.3779779999,1199233.8100633882
885622490.6731812,886592176.4319234,2024-04-24,-4158926.9568039887,-4164084.026230462,18114015.10878001,18136476.487514865,22272942.065584,22300560.513745327
885646312.1111242,886616013.2823367,2024-04-25,-23821.437943,-23836.850413349122,23821.437943,23836.850413349122,47642.875886,47673.700826698245
913146817.0999792,914137556.1575081,2024-04-26,16931317.19420699,16944269.651860572,27500504.98885499,27521542.875171475,10569187.794648,10577273.223310905
913646817.0999792,914637947.6575081,2024-04-27,500000.0,500391.5,500000.0,500391.5,0.0,0.0
913656736.3248872,914647884.5584749,2024-04-28,9919.224908,9936.900966786056,9919.224908,9936.900966786056,0.0,0.0
915121279.9660431,916112867.5627233,2024-04-29,-105294.49592600041,-105326.08427477768,1464543.6411559999,1464983.004248347,1569838.1370820003,1570309.0885231246
915121730.8660431,916113319.0173303,2024-04-30,-191664.060502,-191899.80729641748,450.90000000000003,451.4546070000001,192114.960502,192351.26190341747
915198341.5742241,916190071.6851536,2024-05-01,-270283.0483680001,-270783.8828566259,76610.708181,76752.66782325941,346893.75654900004,347536.5506798853
921027352.5634881,922025278.9130992,2024-05-02,-8803793.680668,-8813152.113350548,5829010.989264,5835207.227945588,14632804.669932,14648359.341296136
930060412.0456581,931064390.5451223,2024-05-03,1947940.9375299988,1949246.0579581466,9033059.48217,9039111.632023053,7085118.544640002,7089865.574064907
930060677.2728671,931064655.7659658,2024-05-04,163.61315100000002,163.60922428437598,265.227209,265.220843546984,101.614058,101.611619262608
930060697.2728671,931064675.7775258,2024-05-05,-1597.30854,-1598.23178433612,20.0,20.01156,1617.30854,1618.24334433612
933904256.5981921,934911186.9564127,2024-05-06,-715451.8495820016,-716001.3166024797,3843559.325324999,3846511.1788868504,4559011.174907001,4562512.49548933
937793399.475064,938803157.2401562,2024-05-07,-6835715.950818001,-6840685.51631424,3889142.8768720003,3891970.283743487,10724858.827690002,10732655.800057728
937793399.475064,938803157.2401562,2024-05-08,-150165.832724,-150401.29274971125,0.0,0.0,150165.832724,150401.29274971125
937819419.4793041,938829196.2910392,2024-05-09,-431870.100883,-432186.2297968463,26020.00424,26039.05088310368,457890.105123,458225.28067994997
944624307.3910401,945636921.8410344,2024-05-10,4364623.692224,4366443.740303659,6804887.911735999,6807725.549995195,2440264.2195119993,2441281.8096915362
946641533.2566001,947656766.0657679,2024-05-11,1977476.338924,1980043.1032119233,2017225.86556,2019844.2247334968,39749.526635999995,39801.12152157353
953457623.1352402,954482057.6657441,2024-05-12,-40372925.41294603,-40427428.86225355,6816089.87864,6825291.599976155,47189015.29158603,47252720.4622297
959044552.4694642,960069987.060319,2024-05-13,-32288520.374929007,-32294300.020076122,5586929.334223998,5587929.394574825,37875449.709153004,37882229.41465095
990358346.2119362,991410648.037822,2024-05-14,-81952743.90959804,-82023059.36387235,31313793.742471997,31340660.97750307,113266537.65207003,113363720.34137541
998358346.2119362,999410440.037822,2024-05-15,7932185.691794,7931979.454966013,8000000.0,7999792.0,67814.308206,67812.54503398664
1001358641.3584602,1002412295.3378222,2024-05-16,-1068807.1899080002,-1069362.9696467523,3000295.146524,3001855.3000001926,4069102.336432,4071218.269646945
1058368867.8335192,1059445154.8727918,2024-05-17,-28213731.429453008,-28224932.280830465,57010226.475059055,57032859.53496956,85223957.90451206,85257791.81580003
1058368867.8335192,1059445154.8727918,2024-05-18,-507748.111864,-507820.7198439965,0.0,0.0,507748.111864,507820.7198439965
1058372185.2790632,1059448473.8111863,2024-05-19,3317.445544,3318.9383944948,3317.445544,3318.9383944948,0.0,0.0
1060010591.0216203,1061086499.443611,2024-05-20,-6601956.9918,-6600425.337777901,1638405.7425570001,1638025.632424727,8240362.734357,8238450.9702026285
1064600983.5154963,1065680871.8077792,2024-05-21,-8796808.256431995,-8804435.089190327,4590392.493875999,4594372.3641681895,13387200.750307994,13398807.453358516
1087495161.0221581,1088590914.9794533,2024-05-22,-36213743.36539598,-36238839.48954828,22894177.506662,22910043.171674136,59107920.87205798,59148882.66122242
1088958500.816538,1090056325.3996425,2024-05-23,-786315.5318730008,-787428.1683506002,1463339.7943799994,1465410.4201890482,2249655.326253,2252838.5885396483
1102664588.9212332,1103777435.3769002,2024-05-24,-1474566.6150940098,-1476182.7401041538,13706088.104695,13721109.977257738,15180654.71978901,15197292.717361892
1114446172.144725,1115562341.0068612,2024-05-25,-3523166.4469839875,-3524159.979922056,11781583.223492004,11784905.629961029,15304749.670475991,15309065.609883085
1118674977.9584851,1119797050.2335372,2024-05-26,-1768006.8095590062,-1770474.947065143,4228805.813759994,4234709.2266760105,5996812.623319,6005184.173741153
1179784894.3521032,1180969482.071626,2024-05-27,16129102.918443128,16145602.99072855,61109916.39361811,61172431.83808865,44980813.47517498,45026828.8473601
1185565047.3879392,1186755444.161263,2024-05-28,-183403.72868399974,-183588.04943132773,5780153.035835999,5785962.089637015,5963556.764519999,5969550.139068343
1224130164.8700352,1225372470.2914898,2024-05-29,-11764445.203358054,-11780280.146601789,38565117.48209594,38617026.130226836,50329562.685453996,50397306.276828624
1229665547.483153,1230911107.7095842,2024-05-30,-278905.20667700004,-279069.202938525,5535382.613117996,5538637.418094516,5814287.819794996,5817706.621033041
1238692386.9060571,1239948021.0852842,2024-05-31,-6927306.248083968,-6935037.121856863,9026839.422904024,9036913.375699954,15954145.670987992,15971950.497556817
1240388816.5545452,1241646450.8243277,2024-06-01,-606363.8137719994,-607078.7167084373,1696429.6484880005,1698429.7390435676,2302793.46226,2305508.455752005
1247401612.455084,1248662914.4171226,2024-06-02,1779186.8240669994,1780117.3387759877,7012795.900538999,7016463.592794984,5233609.076471999,5236346.254018996
1247402137.455084,1248663439.7189977,2024-06-03,525.0,525.301875,525.0,525.301875,0.0,0.0
1321239107.5068521,1322535334.6576002,2024-06-04,-1144139.343437016,-1144680.5213464946,73836970.05176802,73871894.93860248,74981109.39520504,75016575.45994897
1341515414.1600282,1342827497.3825788,2024-06-05,-66297.52898400277,-66349.37365167215,20276306.65317599,20292162.724978786,20342604.182159994,20358512.098630458
1351108588.0739672,1352427261.8069968,2024-06-06,-8595788.888227008,-8601694.195193226,9593173.913939007,9599764.424417874,18188962.802166015,18201458.6196111
1390034347.4423702,1391384395.3374507,2024-06-07,-2880513.3704450354,-2882835.0642215684,38925759.36840298,38957133.53045396,41806272.738848016,41839968.594675526
1397494876.7903903,1398853325.2415166,2024-06-08,-5493980.680432008,-5500166.9026781805,7460529.348019994,7468929.904065866,12954510.028452002,12969096.806744047
1411606496.2002923,1412976346.8399017,2024-06-09,-65559443.04631803,-65612415.076299444,14111619.409902012,14123021.598385202,79671062.45622005,79735436.67468464
1421871879.9619324,1423249131.9432337,2024-06-10,-1598509.055459002,-1599661.5804879852,10265383.76164,10272785.103332141,11863892.817099001,11872446.683820127
1471607208.7566285,1473012063.8454108,2024-06-11,-6084893.532354929,-6088270.648265429,49735328.79469604,49762931.90217708,55820222.32705097,55851202.55044251
1497386165.8459785,1498819841.8087866,2024-06-12,-14309030.989157978,-14325028.485803895,25778957.08935001,25807777.96337589,40087988.07850799,40132806.44917978
